City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Berbera,SO,10.4396,45.0143,92.75,37,33,28.19,scattered clouds
148,Amazar,RU,53.858,120.875,68.99,70,97,3.85,light rain
149,Vao,NC,-22.6667,167.4833,69.31,79,100,27.07,overcast clouds
150,Esperance,AU,-33.8667,121.9,59.7,58,92,4.99,overcast clouds
151,Kruisfontein,ZA,-34.0033,24.7314,51.89,74,0,6.04,clear sky
152,Bagdarin,RU,54.4333,113.6,67.06,51,83,3.49,broken clouds
153,Karratha,AU,-20.7377,116.8463,76.95,24,5,12.55,clear sky
154,Namibe,AO,-15.1961,12.1522,65.26,80,2,2.73,clear sky
155,Grindavik,IS,63.8424,-22.4338,49.95,100,100,9.22,fog
156,Ambulu,ID,-8.345,113.6058,81.36,78,63,9.06,broken clouds
157,Hibbing,US,47.4272,-92.9377,69.15,69,20,0.0,few clouds
158,Minna,NG,9.6139,6.5569,73.11,94,40,4.61,thunderstorm
159,Dunedin,NZ,-45.8742,170.5036,45.81,61,83,20.0,broken clouds
160,Kodiak,US,57.79,-152.4072,65.71,52,75,13.8,broken clouds
161,Kirakira,SB,-10.4544,161.9205,80.47,81,6,5.77,clear sky
162,Caucaia,BR,-3.7361,-38.6531,76.95,82,75,5.75,broken clouds
163,Ossora,RU,59.2353,163.0719,65.98,65,11,5.17,few clouds
164,Eureka,US,40.8021,-124.1637,64.67,84,0,0.69,clear sky
165,Kibala,TD,9.1104,18.3463,76.95,94,0,6.91,clear sky
166,Boaco,NI,12.4722,-85.6586,70.09,98,100,7.14,overcast clouds
167,Aksu,CN,41.1231,80.2644,88.72,19,100,4.97,overcast clouds
168,Bestobe,KZ,52.4994,73.0975,85.75,35,59,14.83,broken clouds
169,Xichang,CN,27.8964,102.2634,86.05,53,100,6.51,overcast clouds
170,Taoudenni,ML,22.6783,-3.9836,96.28,13,26,13.67,scattered clouds
171,Kattivakkam,IN,13.2167,80.3167,89.69,67,100,19.69,light rain
172,Muscatine,US,41.4667,-91.1335,73.11,81,75,8.05,broken clouds
173,Tual,ID,-5.6667,132.75,80.08,78,92,18.25,overcast clouds
174,Bumba,CD,2.1833,22.4667,80.17,67,92,3.38,overcast clouds
175,Faya,SA,18.3851,42.4509,72.12,32,94,7.02,overcast clouds
176,Taltal,CL,-25.4,-70.4833,56.08,73,12,5.99,few clouds
177,Tulun,RU,54.5611,100.5792,77.49,33,33,3.47,scattered clouds
178,Deputatskiy,RU,69.3,139.9,53.38,93,100,4.36,moderate rain
179,Qasigiannguit,GL,68.8193,-51.1922,39.45,95,97,1.61,overcast clouds
180,Hilo,US,19.7297,-155.09,74.93,84,75,5.75,broken clouds
181,Aleksandrov Gay,RU,50.147,48.5704,92.55,23,19,13.67,few clouds
182,Talcahuano,CL,-36.7167,-73.1167,40.68,93,20,4.61,few clouds
183,Juneau,US,58.3019,-134.4197,55.22,96,100,11.5,light rain
184,Nanortalik,GL,60.1432,-45.2371,39.96,93,53,4.18,broken clouds
185,Geraldton,AU,-28.7667,114.6,66.61,52,0,12.66,clear sky
186,Moa,CU,20.6569,-74.9403,79.5,83,29,8.77,scattered clouds
187,Tambopata,PE,-12.7333,-69.1833,74.23,64,99,2.35,overcast clouds
188,Bajil,YE,15.0584,43.2851,95.72,31,100,6.69,overcast clouds
189,Chimbote,PE,-9.0853,-78.5783,62.22,84,96,7.45,overcast clouds
190,Svetlogorsk,BY,52.6333,29.7333,65.3,63,100,12.24,overcast clouds
191,Kiunga,PG,-6.1219,141.2906,80.53,90,97,1.95,overcast clouds
192,Tosya,TR,41.0155,34.0401,63.41,60,32,4.23,scattered clouds
193,Muyezerskiy,RU,63.9333,31.65,65.43,82,100,4.18,overcast clouds
194,Chokurdakh,RU,70.6333,147.9167,72.99,33,100,10.63,overcast clouds
195,Carnarvon,AU,-24.8667,113.6333,72.81,41,0,11.36,clear sky
196,Tsumeb,NA,-19.2333,17.7167,62.31,27,0,8.63,clear sky
197,Rio Esteban,HN,15.8333,-86.3,76.8,93,99,6.02,overcast clouds
198,Samdrup Jongkhar,BT,26.9167,91.6167,82.15,80,85,4.0,overcast clouds
199,Arawa,PG,-6.2132,155.5367,80.19,86,74,4.12,light rain
200,Puerto Ayora,EC,-0.7393,-90.3518,68.56,99,97,3.0,light rain
201,Port-Cartier,CA,50.0334,-66.8654,55.62,96,100,1.43,moderate rain
202,Coahuayana,MX,18.7333,-103.6833,77.58,93,52,2.98,broken clouds
203,Salalah,OM,17.0151,54.0924,77.09,100,100,8.05,mist
204,Urdoma,RU,61.7533,48.5442,81.23,47,38,6.46,scattered clouds
205,Panaba,MX,21.2833,-88.2667,74.03,92,22,6.96,few clouds
206,Lady Frere,ZA,-31.7031,27.2329,50.63,58,22,16.17,few clouds
207,Locri,IT,38.2414,16.2623,75.33,39,0,2.39,clear sky
208,Grozesti,RO,44.65,23.3167,67.48,42,82,13.06,broken clouds
209,Nabire,ID,-3.3667,135.4833,82.33,80,100,3.6,overcast clouds
210,Ilo,PE,-17.6394,-71.3375,58.98,88,65,7.47,broken clouds
211,Balclutha,NZ,-46.2339,169.75,38.64,83,17,5.1,few clouds
212,Pokhara,NP,28.2333,83.9833,84.52,68,87,3.76,overcast clouds
213,Mar Del Plata,AR,-38.0023,-57.5575,51.1,82,0,11.99,light rain
214,Kieta,PG,-6.2167,155.6333,80.98,81,52,5.53,light rain
215,Conceicao Do Araguaia,BR,-8.2578,-49.2647,69.15,47,19,3.29,few clouds
216,Pundaguitan,PH,6.3711,126.1689,84.18,72,100,16.24,overcast clouds
217,Olinda,BR,-8.0089,-34.8553,73.13,88,40,6.91,scattered clouds
218,Port Elizabeth,ZA,-33.918,25.5701,55.31,78,0,10.36,clear sky
219,Bathsheba,BB,13.2167,-59.5167,83.01,88,20,21.85,few clouds
220,Porbandar,IN,21.6422,69.6093,87.78,70,75,16.11,haze
221,Katsuura,JP,35.1333,140.3,79.68,80,20,7.05,few clouds
222,Alice Springs,AU,-23.7,133.8833,69.22,32,0,6.91,clear sky
223,Lorengau,PG,-2.0226,147.2712,84.18,68,35,9.75,scattered clouds
224,Deder,ET,9.3167,41.45,53.89,89,100,7.58,light rain
225,Camocim,BR,-2.9022,-40.8411,75.2,85,11,11.12,few clouds
226,Thompson,CA,55.7435,-97.8558,59.16,100,75,0.0,broken clouds
227,Sibolga,ID,1.7427,98.7792,85.84,62,61,5.95,broken clouds
228,Solnechnyy,RU,50.7214,136.6319,79.48,51,100,6.46,light rain
229,Chapais,CA,49.7834,-74.8492,56.98,94,100,7.43,overcast clouds
230,Cairns,AU,-16.9167,145.7667,74.07,53,6,13.8,clear sky
231,Mahajanga,MG,-15.7167,46.3167,77.02,47,20,8.05,few clouds
232,Hohhot,CN,40.8106,111.6522,70.09,68,40,4.47,scattered clouds
233,Beloha,MG,-25.1667,45.05,74.28,42,0,7.27,clear sky
234,Huarmey,PE,-10.0681,-78.1522,61.75,88,44,8.63,scattered clouds
235,Caldwell,US,43.6629,-116.6874,75.07,39,0,9.22,clear sky
236,Henderson,US,36.0397,-114.9819,101.64,16,0,9.22,clear sky
237,Estacion Coahuila,MX,32.1939,-115.0017,94.05,27,0,9.06,clear sky
238,Waingapu,ID,-9.6567,120.2641,81.79,67,62,17.18,broken clouds
239,Kaitangata,NZ,-46.2817,169.8464,41.88,78,22,11.9,few clouds
240,Klaksvik,FO,62.2266,-6.589,50.92,98,100,17.78,overcast clouds
241,Tiarei,PF,-17.5333,-149.3333,75.22,79,31,18.61,light rain
242,Catamarca,AR,-28.4696,-65.7852,55.58,47,13,1.92,few clouds
243,Jalu,LY,29.0331,21.5482,81.34,48,0,10.25,clear sky
244,Isla Vista,US,34.4133,-119.861,74.91,80,0,6.91,clear sky
245,Labuhan,ID,-6.8844,112.2051,87.78,57,100,6.58,overcast clouds
246,Tiksi,RU,71.6872,128.8694,42.39,84,98,12.71,overcast clouds
247,Acapulco,MX,16.8634,-99.8901,82.22,89,40,2.3,scattered clouds
248,Wenling,CN,28.3669,121.36,86.86,80,99,9.17,overcast clouds
249,Chegem,RU,43.2833,43.1333,62.73,67,1,2.24,clear sky
250,Cabo San Lucas,MX,22.8909,-109.9124,88.9,49,96,11.3,overcast clouds
251,Selma,US,36.5708,-119.6121,82.33,45,0,5.75,clear sky
252,Vostok,RU,46.4856,135.8833,68.05,92,100,2.82,overcast clouds
253,Dikson,RU,73.5069,80.5464,38.95,83,90,6.42,overcast clouds
254,Ahipara,NZ,-35.1667,173.1667,63.43,95,100,15.5,moderate rain
255,San Patricio,US,28.017,-97.5169,84.88,78,6,11.27,clear sky
256,Daru,PG,-9.0763,143.2092,78.21,87,98,17.74,overcast clouds
257,Fujin,CN,47.26,132.0322,73.06,68,81,8.48,broken clouds
258,Codrington,AU,-38.2667,141.9667,48.16,90,100,14.81,light rain
259,Frutal,BR,-20.0247,-48.9406,65.17,54,100,8.41,overcast clouds
260,Mikulov,CZ,48.8056,16.6378,61.36,100,67,9.01,light rain
261,Bonavista,CA,48.6499,-53.1147,52.48,84,3,13.0,clear sky
262,Chingola,ZM,-12.529,27.8838,63.1,48,2,7.45,clear sky
263,Bure,ET,10.7,37.0667,57.22,98,100,2.1,moderate rain
264,Hami,CN,42.8,93.45,95.43,10,1,14.58,clear sky
265,Kolpashevo,RU,58.3131,82.9089,74.32,38,0,10.74,clear sky
266,Kazachinskoye,RU,57.6953,93.2761,78.57,39,1,10.85,clear sky
267,Pevek,RU,69.7008,170.3133,38.21,75,11,3.8,few clouds
268,Bongor,TD,10.2806,15.3722,79.95,68,80,9.26,broken clouds
269,Tashigang,BT,27.3331,91.5542,84.49,68,100,5.68,overcast clouds
270,Bibiani,GH,6.4635,-2.3194,69.28,99,100,1.21,overcast clouds
271,Lagoa Nova,BR,-6.1,-36.4833,63.66,85,40,14.25,scattered clouds
272,Talnakh,RU,69.4865,88.3972,54.21,50,100,18.68,overcast clouds
273,Abong Mbang,CM,3.9833,13.1833,67.62,94,100,2.26,overcast clouds
274,Parrita,CR,9.5201,-84.3225,75.56,87,98,2.55,overcast clouds
275,Batagay,RU,67.6333,134.6333,57.36,96,100,4.85,light rain
276,Kosa,RU,59.9445,54.9977,82.85,47,24,3.69,few clouds
277,Batagay-Alyta,RU,67.8006,130.4114,54.75,89,100,5.75,light rain
278,Koyelga,RU,54.6522,60.9049,77.77,63,99,8.66,light rain
279,Vestmannaeyjar,IS,63.4427,-20.2734,51.17,94,100,13.96,overcast clouds
280,Upington,ZA,-28.4478,21.2561,44.98,93,20,0.0,few clouds
281,Monrovia,LR,6.3005,-10.7969,74.97,80,100,7.83,overcast clouds
282,Bowen,AU,-20.0167,148.2333,64.67,65,13,7.52,few clouds
283,Uglegorskiy,RU,48.2427,41.2531,82.96,33,100,16.11,overcast clouds
284,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.89,83,52,10.74,broken clouds
285,Goderich,CA,43.7501,-81.7165,66.52,45,7,8.05,clear sky
286,Barcelos,PT,41.5388,-8.6151,61.92,71,4,1.88,clear sky
287,Yatou,CN,37.15,122.3833,81.27,69,33,9.19,scattered clouds
288,Bourail,NC,-21.5667,165.4833,68.81,92,100,9.1,overcast clouds
289,Severnyy,RU,50.677,36.5532,66.24,94,75,8.95,broken clouds
290,Biarritz,FR,43.4801,-1.5556,71.64,88,0,2.3,clear sky
291,Lewistown,US,40.5992,-77.5714,65.14,100,0,0.0,clear sky
292,Larsnes,NO,62.2028,5.5773,58.01,87,100,7.14,overcast clouds
293,Rio Grande,BR,-32.035,-52.0986,63.95,92,94,8.5,overcast clouds
294,Jhawarian,PK,32.3614,72.6228,95.61,53,54,1.03,broken clouds
295,Touros,BR,-5.1989,-35.4608,72.18,88,79,12.53,broken clouds
296,Miramar,US,25.9873,-80.2323,82.02,85,0,0.0,clear sky
297,Paita,PE,-5.0892,-81.1144,62.42,84,65,11.83,broken clouds
298,Itarema,BR,-2.9248,-39.9167,74.73,87,12,10.29,few clouds
299,Sioux Lookout,CA,50.1001,-91.917,62.67,94,100,2.3,overcast clouds
300,Narsaq,GL,60.9167,-46.05,44.82,75,17,2.06,few clouds
301,Juegang,CN,32.3174,121.1855,92.48,65,64,8.01,broken clouds
302,Meulaboh,ID,4.1363,96.1285,82.74,71,100,2.24,overcast clouds
303,Beyneu,KZ,45.3167,55.2,93.74,18,0,11.45,clear sky
304,Koutiala,ML,12.3917,-5.4642,75.97,80,77,11.05,broken clouds
305,Nakhon Phanom,TH,17.3333,104.4167,82.2,65,100,4.14,light rain
306,Mount Gambier,AU,-37.8333,140.7667,46.58,97,100,6.62,moderate rain
307,Maldonado,UY,-34.6667,-54.9167,53.22,98,100,9.28,heavy intensity rain
308,Mount Isa,AU,-20.7333,139.5,69.57,18,0,5.75,clear sky
309,Redmond,US,47.674,-122.1215,66.13,72,0,3.11,clear sky
310,Yarim,YE,14.298,44.3779,61.86,48,100,7.23,overcast clouds
311,Marzuq,YE,14.4,46.4667,82.51,33,100,3.87,overcast clouds
312,Harper,LR,4.375,-7.7169,75.36,78,99,7.29,overcast clouds
313,Miranda,CO,3.2499,-76.2281,64.53,93,100,2.68,overcast clouds
314,Chokwe,MZ,-24.5333,32.9833,70.95,59,0,11.01,clear sky
315,Fortuna,US,40.5982,-124.1573,58.66,90,0,1.34,clear sky
316,Tutoia,BR,-2.7619,-42.2744,73.92,87,5,7.47,clear sky
317,Nizwa,OM,22.9333,57.5333,82.08,77,100,6.4,overcast clouds
318,Elko,US,41.0002,-115.5012,71.62,35,0,7.0,clear sky
