City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Kutum,SD,82.44,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
129,Guerrero Negro,MX,67.24,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
130,Bethel,US,66.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
133,Caravelas,BR,67.14,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
135,Ajdabiya,LY,79.74,clear sky,30.7554,20.2263,Almadina Hotel
136,Goroka,PG,67.46,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
137,Mae Hong Son,TH,89.74,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
139,San Quintin,MX,65.57,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
140,Sao Filipe,CV,73.22,scattered clouds,14.8961,-24.4956,Hotel Xaguate
141,Abaza,RU,80.69,overcast clouds,52.655,90.0928,Гостевой дом «Кедровый»
142,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
143,Canavieiras,BR,67.01,scattered clouds,-15.675,-38.9472,Bahiadomizil
144,Escanaba,US,67.95,clear sky,45.7453,-87.0646,Sunset Lodge
145,Bima,ID,84.58,scattered clouds,-8.4667,118.7167,Lambitu Hotel
148,Amazar,RU,68.99,light rain,53.858,120.875,Гостиничный Комплекс Уют
149,Vao,NC,69.31,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
152,Bagdarin,RU,67.06,broken clouds,54.4333,113.6,Gostevoy Dom Terem
153,Karratha,AU,76.95,clear sky,-20.7377,116.8463,ibis Styles Karratha
154,Namibe,AO,65.26,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
156,Ambulu,ID,81.36,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
157,Hibbing,US,69.15,few clouds,47.4272,-92.9377,Mitchell-Tappan House - Carriage House Rentals
158,Minna,NG,73.11,thunderstorm,9.6139,6.5569,Royal Park hotel & suites
160,Kodiak,US,65.71,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
161,Kirakira,SB,80.47,clear sky,-10.4544,161.9205,SanBiz Lodge
162,Caucaia,BR,76.95,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
165,Kibala,TD,76.95,clear sky,9.1104,18.3463,Prasant Hotels
166,Boaco,NI,70.09,overcast clouds,12.4722,-85.6586,Posada El Bailante
167,Aksu,CN,88.72,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
169,Xichang,CN,86.05,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
171,Kattivakkam,IN,89.69,light rain,13.2167,80.3167,Euronova Freezer
172,Muscatine,US,73.11,broken clouds,41.4667,-91.1335,Bed Bekfast
173,Tual,ID,80.08,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
174,Bumba,CD,80.17,overcast clouds,2.1833,22.4667,Père Carlos
175,Faya,SA,72.12,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
177,Tulun,RU,77.49,scattered clouds,54.5611,100.5792,Квартира
180,Hilo,US,74.93,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
185,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
186,Moa,CU,79.5,scattered clouds,20.6569,-74.9403,Carmen
187,Tambopata,PE,74.23,overcast clouds,-12.7333,-69.1833,Enashawa Lodge
190,Svetlogorsk,BY,65.3,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
191,Kiunga,PG,80.53,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
193,Muyezerskiy,RU,65.43,overcast clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
195,Carnarvon,AU,72.81,clear sky,-24.8667,113.6333,Hospitality Carnarvon
197,Rio Esteban,HN,76.8,overcast clouds,15.8333,-86.3,Hotel La Fé
199,Arawa,PG,80.19,light rain,-6.2132,155.5367,Coastline Guest House
200,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
202,Coahuayana,MX,77.58,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
203,Salalah,OM,77.09,mist,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
204,Urdoma,RU,81.23,scattered clouds,61.7533,48.5442,Vikonda
